37.06	152
37.41	156
37.24	158
36.79	155
37.13	154
35.34	118
36.32	134
37.36	133
35.58	130
36.46	130
37.07	151
37.53	190
36.57	190
36.95	206
37.13	204
37.1	202
37.58	232
37.4	236
37.37	234
38.05	342
37.98	346
37.91	342
38.08	420
38.34	434
38.2	440
38.55	536
38.85	532
38.97	696
38.84	696
39.09	692
39.15	676
39.09	680
39.25	812
39.15	792
39.31	808
39.17	816
39.29	804
39.12	800
39.32	808
39.35	812
39.81	1100
39.86	1110
39.65	1110
39.59	1110
39.68	1110
39.82	1110
39.71	1120
39.65	1130
39.75	1130
39.76	1130
40.02	1420
40.1	1430
40.03	1440
40	1420
40.1	1410
40.13	1420
40.16	1530
40.13	1540
40.14	1550
40.1	1550
40.23	1560
41.29	2460
41.23	2480
41.27	2480
41.29	2460
41.46	2340
41.46	2320
41.37	2300
41.43	2320
41.36	2300
41.77	1500
41.67	1500
41.63	1500
41.77	1520
41.91	1500
42.41	792
42.59	784
42.52	808
42.52	784
43.1	444
42.52	440
42.92	452
43.14	440
43.1	448
42.99	456
43.74	236
43.67	232
43.48	232
43.9	232
44.43	194
42.98	196
43.15	194
43.17	190
43.89	202
43.42	196
44.05	194
44.07	132
43.59	124
42.81	132
43.45	132
44.13	136

